"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username"""
"1785453512727707915,""Tue Apr 30 23:37:44 +0000 2024"",""0"",""buset nulis body email aja ga bisa bodoh atau apa?"",""1785453512727707915"","""","""",""in"",""Japan"",""0"",""0"",""0"",""https://x.com/andluneteam/status/1785453512727707915"",""1340501887766827009"",""andluneteam"""
"1785424801911443904,""Tue Apr 30 23:37:39 +0000 2024"",""19"",""@id_fm @PSSI @pt_lib Sederhana tapi masyarakat Indonesia masa bodoh taunya menang menang menang menang juara piala dunia"",""1785453491961598166"","""",""id_fm"",""in"","""",""0"",""0"",""2"",""https://x.com/BapacknyaAruna/status/1785453491961598166"",""963734580208390147"",""BapacknyaAruna"""
"1785420832044675477,""Tue Apr 30 23:37:16 +0000 2024"",""1"",""@gus_muslih Kaum BODOH berOTAK HAMPA..."",""1785453394964160592"","""",""ust_muslih"",""in"",""indonesia"",""0"",""0"",""0"",""https://x.com/JafYaya2150/status/1785453394964160592"",""486699170"",""JafYaya2150"""
"1785255318450233553,""Tue Apr 30 22:50:53 +0000 2024"",""11"",""@irfanrendrawan kesian.... muda2 dah bodoh maklumat semua dihujung jari tapi pilih utk kekal bodoh dan pemalas nak cari maklumat harap takde zuriat lah supaya tak bertambah org bodoh dan pemalas di Malaysia ni"",""1785441722534592518"","""",""irfanrendrawan"",""in"","""",""0"",""2"",""1"",""https://x.com/myjourney2020/status/1785441722534592518"",""2952105512"",""myjourney2020"""
"1785324877651890446,""Tue Apr 30 22:49:21 +0000 2024"",""57"",""@Solisidtor nie jawapan nya https://t.co/YQyLIbj06m"",""1785441338915443170"",""https://pbs.twimg.com/ext_tw_video_thumb/1785441191359565824/pu/img/fsm1HdJ7NHpjqv4X.jpg"",""Solisidtor"",""in"",""marang "",""0"",""3"",""4"",""https://x.com/DiamReader/status/1785441338915443170"",""1317624981967138821"",""DiamReader"""
"1785193157342441508,""Tue Apr 30 22:48:32 +0000 2024"",""0"",""@txtdaripersija Bodoh nya... Allah kasih akal buat mikir cuma ga di pake..."",""1785441133751136731"","""",""txtdaripersija"",""in"",""Bandar Lampung City"",""0"",""0"",""0"",""https://x.com/albar3/status/1785441133751136731"",""141145741"",""albar3"""
"1785222561221300328,""Tue Apr 30 23:59:46 +0000 2024"",""0"",""@sbmptnfess Coba diusut ini sender tolol jangan jangan dapet kip juga"",""1785459057056498132"","""",""sbmptnfess"",""in"","""",""0"",""0"",""0"",""https://x.com/mattbelah/status/1785459057056498132"",""1704563374548467713"",""mattbelah"""
"1784913480925204807,""Tue Apr 30 23:59:25 +0000 2024"",""0"",""@mralter17 @Tita83079013 Tolol apa goblok njing?"",""1785458969643003954"","""",""sldozcn50434"",""in"",""Indonesia"",""0"",""0"",""0"",""https://x.com/icedkupai/status/1785458969643003954"",""1005162224"",""icedkupai"""
"1785458805884817621,""Tue Apr 30 23:58:46 +0000 2024"",""0"",""kl kata org ma tolol abiezzz "",""1785458805884817621"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/merkcelana/status/1785458805884817621"",""1280808650689265664"",""merkcelana"""
"1785458768643551614,""Tue Apr 30 23:58:37 +0000 2024"",""0"",""makan roti kertasnya kemakan tolol"",""1785458768643551614"","""","""",""in"","""",""0"",""8"",""0"",""https://x.com/jenardings/status/1785458768643551614"",""1518233993849704448"",""jenardings"""
"1785458098897047570,""Tue Apr 30 23:58:28 +0000 2024"",""0"",""Throwback Pantesan effortnya setengah juga atau emang akunya yang tolol pertahankan sendiri makanya sampe 5 tahun ya? Wkwkwk ngabisin waktu dan tenaga kan toloooollll bgt y"",""1785458731893006630"","""",""MADAFVKA"",""in"","""",""0"",""2"",""0"",""https://x.com/MADAFVKA/status/1785458731893006630"",""1067234201097854976"",""MADAFVKA"""
"1785214551912559004,""Tue Apr 30 23:57:53 +0000 2024"",""0"",""@CNNIndonesia Ini gw serius nanya orang jawa mau sampai kapan kapoknya milih pemimpin tolol bobrok pembohong culas pokoknya kalau ada salah satu kriteria itu di tambah orang jawa udah pasti di pilih sampai2 penculik dan pembunuh aktivis jadi presiden kalau kayak gini terus izinkan kami keluar"",""1785458582873624627"","""",""CNNIndonesia"",""in"","""",""0"",""0"",""0"",""https://x.com/czxtrem/status/1785458582873624627"",""1299879815022088195"",""czxtrem"""
"1785458555388342474,""Tue Apr 30 23:57:46 +0000 2024"",""0"",""wibu tolol bikin karangan kek gini mending ke RSJ kata gw https://t.co/ElpFKtXFOh"",""1785458555388342474"",""https://pbs.twimg.com/media/GMc5FwbbgAAUVyV.jpg"","""",""in"",""𝒔𝒐𝒑𝒆'𝒔"",""0"",""0"",""0"",""https://x.com/hopeulicious/status/1785458555388342474"",""1046419677499408384"",""hopeulicious"""
"1784822025334493343,""Tue Apr 30 23:57:41 +0000 2024"",""0"",""@Skylar1731 @undipmenfess Tolol mereka mah"",""1785458535926792532"","""",""Skylar1731"",""in"","""",""0"",""0"",""0"",""https://x.com/ReDFloW9002/status/1785458535926792532"",""1630535498090545152"",""ReDFloW9002"""
"1785327061038748156,""Tue Apr 30 23:56:58 +0000 2024"",""0"",""@lazymuggles_ Loh kok tolol sih lu"",""1785458354606973184"","""",""lazymuggles_"",""in"","""",""0"",""0"",""0"",""https://x.com/Putrimalika_00/status/1785458354606973184"",""1763436780911722496"",""Putrimalika_00"""
"1785458255990599696,""Tue Apr 30 23:56:35 +0000 2024"",""0"",""Embiid tolol abis "",""1785458255990599696"","""","""",""in"",""Jakarta, Indonesia"",""0"",""0"",""0"",""https://x.com/dimasrach/status/1785458255990599696"",""43998903"",""dimasrach"""
"1785458234444419261,""Tue Apr 30 23:56:29 +0000 2024"",""0"",""jangan heran soalnya dia asuel asuel kan emang tolol bin bloon semua https://t.co/4TI7L2VNtH"",""1785458234444419261"",""https://pbs.twimg.com/media/GMc4zMubIAAWmEy.jpg"","""",""in"","""",""0"",""1"",""2"",""https://x.com/istri_minsugaaa/status/1785458234444419261"",""1114765172575354880"",""istri_minsugaaa"""
"1785457871179985217,""Tue Apr 30 23:55:03 +0000 2024"",""0"",""Kalo tolol mh ya tolol ajasi gausa overpride gitu"",""1785457871179985217"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/somethingout9/status/1785457871179985217"",""4749017376"",""somethingout9"""
"1785262277245260229,""Tue Apr 30 23:54:26 +0000 2024"",""0"",""@GSyndicate27 Siapapun admin dibalik akun ini kamu itu bener bener tolol dan awikwok "",""1785457716565254305"","""","""",""in"",""Mary Geoise"",""0"",""0"",""0"",""https://x.com/pentunganlinmas/status/1785457716565254305"",""1076797190683602944"",""pentunganlinmas"""
"1785293651180192168,""Tue Apr 30 23:53:29 +0000 2024"",""0"",""@redooommm_ @mentalita1923 @rai_cikal33 @samsecond_ @ocehangaluh Si tolol bawa2 suku2 mau tanya rata2 presiden indo dari suku mana ya?? Dari suku Lo udh ada yg jadi presiden belom ? Jawab ya"",""1785457477297013126"","""",""redooommm_"",""in"","""",""0"",""2"",""0"",""https://x.com/RahmanTigermp/status/1785457477297013126"",""1620958095622148096"",""RahmanTigermp"""
"1785222561221300328,""Tue Apr 30 23:53:16 +0000 2024"",""0"",""@sbmptnfess LU TOLOL GOBLOK. Malah bilang iri otak lo dimana? pantat?"",""1785457423983194172"","""",""sbmptnfess"",""in"","""",""0"",""0"",""0"",""https://x.com/JihanNabillah15/status/1785457423983194172"",""1286088118097965057"",""JihanNabillah15"""
"1785212895967764936,""Tue Apr 30 23:53:10 +0000 2024"",""0"",""@collegemenfess Kami sekelas pernah dikatain tolol sama dosen "",""1785457398125347212"","""",""collegemenfess"",""in"",""arlong"",""0"",""0"",""0"",""https://x.com/vaemsirakaa/status/1785457398125347212"",""1231543424475488256"",""vaemsirakaa"""
